"MOD_NAME","ITM_NAME","PAG_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML","ITM_REQUIRED","ITM_UNIQUE"
"AE","","AE","Adverse Event Log",NULL,NULL,NULL,NULL,NULL
"AE","AEOUTCOM","AE","Outcome","NUMBER","12","0","False","False"
"AE","AERELAT","AE","Relationship to Study","NUMBER","12","0","False","False"
"AE","AERELPRO","AE","Relationship to Study Procedure","NUMBER","12","0","False","False"
"AE","AESEVER","AE","Severity","NUMBER","12","0","False","False"
"AE","AETERM","AE","Adverse Event","CHAR",NULL,NULL,"False","False"
"AE","CNO","AE","Site Number","NUMBER","12","0","True","False"
"AE","EVENT_ID","AE","Visit ID","CHAR","3",NULL,"True","False"
"AE","HLGTNAME",NULL,"High Level Group Term","CHAR","120",NULL,NULL,NULL
"AE","HLT_NAME",NULL,"High Level Term","CHAR","120",NULL,NULL,NULL
"AE","INFODT","AE","Assessment Date","DATE",NULL,NULL,"True","False"
"AE","LAST_UPDATE","AE","Date of most recent update to record","DATE",NULL,NULL,"True","False"
"AE","LLT_NAME",NULL,"Low Level Term","CHAR","100",NULL,NULL,NULL
"AE","ORIG_ENTRY","AE","Date of original data entry","DATE",NULL,NULL,"True","False"
"AE","PAG_NAME","AE","Page Name","CHAR","12",NULL,"True","False"
"AE","PATNO","AE","Participant ID","NUMBER","18","0","True","False"
"AE","PT_CODE",NULL,"Preferred Term Code","NUMBER","15","0",NULL,NULL
"AE","PT_NAME",NULL,"Preferred Term Name","CHAR","120",NULL,NULL,NULL
"AE","PWDTAE","AE","Premature Withdrawal due to AE","NUMBER","1",NULL,"False","False"
"AE","QUERY","AE","Any open/pending queries on this record","NUMBER","1",NULL,"False","False"
"AE","REC_ID","AE","Record ID","CHAR","36",NULL,"True","True"
"AE","SAE","AE","SAE","NUMBER","1",NULL,"False","False"
"AE","SEQNO","AE","Sequence Number","NUMBER","12","0","True","False"
"AE","SOCABBR1",NULL,"System Organ Class 1","CHAR","5",NULL,NULL,NULL
"AE","STARTDT","AE","Start Date","DATE",NULL,NULL,"False","False"
"AE","STOPDT","AE","Stop Date","DATE",NULL,NULL,"False","False"
"AE","VMEDDRA",NULL,"MedDRA Version","CHAR","8",NULL,NULL,NULL
